name,brand,rating_count,total_reviews,rating_value,price,seller_name,seller_location,seller_store_link
"Itel Magic X (Dual Sim ,2.4 Inch Display, 1200 mAh Battery, White)",iTel,1,0,5,1799,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Kechaoda A26 (Dual Sim, 800 mAh Battery, Silver)",Kechaoda,2,0,3.5,1279,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"Second Hand (Refurbished) Vivo Y93 (Blue, 6GB RAM, 128GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"Itel It5029 (Dual Sim ,2.4 Inch Display, 1200 mAh Battery, Black)",iTel,0,0,0,1400,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"OnePlus 3T 	64 GB, 6 GB RAM Refurbished Phone",One Plus,2,0,3,9999,S V COLLECTIONS,"Hyderabad , Telangana",http://s-v-collections-1.shopclues.com
Itel it2163S (Black),iTel,0,0,0,989,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Itel It2163S (Dual Sim ,1.8 Inch Display, 1200 mAh Battery, Dark Green)",iTel,0,0,0,975,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
Itel Power 100 New (Light Blue),iTel,0,0,0,1320,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"MTR Guru (Dual Sim, 1.77 Inch Display, 1100 mAh Battery, Gold)",MTR,0,0,0,791,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Itel Power 110 (Champagne Gold),iTel,0,0,0,1320,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Itel Power200 (Dual Sim ,1.8 Inch Display, 2500 mAh Battery, Blue)",iTel,0,0,0,1320,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
Itel Power 110 (Deep Blue),iTel,0,0,0,1320,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Itel It5029 (Dual Sim ,2.4 Inch Display, 1200 mAh Battery, Green)",iTel,1,0,4,1400,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Itel Ace 2 (Dual SIM, 1.8 Inch Display, 1000mAh Battery, Deep Blue)",iTel,1,0,4,979,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
MTR M400 Dual Sim Multimedia 1.77 Inch  3000 Mah Battery Mobile Phone,MTR,0,0,0,989,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Itel Power 410 (Blue),iTel,0,0,0,1549,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"Second Hand (Refurbished) Vivo Y95 (6GB RAM, 128GB Storage) - Superb Condition, Like New",Vivo,0,0,0,18990,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Itel Power200 (Dual Sim ,1.8 Inch Display, 2500 mAh Battery, Black)",iTel,0,0,0,1320,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"MTR Guru(Dual Sim, 1.77 Inch Display, 1100 mAh Battery, Maroon)",MTR,0,0,0,791,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Jmax Legend 3,JMAX,0,0,0,1499,Radhekrishan Enterprise,"Delhi , Delhi",http://radhekrishan-enterprise.shopclues.com
"MTR Cola (Dual SIM, 1 Inch Display, 800 mAh Battery, Red)",MTR,3,0,3,1256,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"Kechaoda K33 (Dual Sim , 1.4 Inch Display, 800 mAh Battery, Red)",Kechaoda,2,0,4,1239,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Karbonn Jumbo K9 2.6 Inch Dual Sim Feature Phone (Black),Karbonn,23,4 Reviews,3.6,1249,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"MTR M200 (Dual Sim, 1.8 Inch Display, 3000 Mah Battery,Vibration,Quad Led Torch)",MTR,2,1 Review,2.5,989,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR M200 (Dual SIm, 1.8 Inch Display, 3000 Mah Battery)",MTR,11,2 Reviews,3.7,819,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR BEAT (Dual Sim, 2.4 Inch, 3000 mAh Battery, Pink)",MTR,2,0,3.5,1169,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbisbed) Honor 20i (4GB RAM, 128GB Storage, Red) - Superb Condition, Like New",Honor,4,1 Review,4.3,8669,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
Mtr Boss Dual Sim 2.4 Inch 3000 Mah Battery Black,MTR,0,0,0,1169,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR DHOOM (Dual Sim, 2.4 Inch, 3000 mAh Battery, DARLK BLUE)",MTR,1,0,4,1169,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR BOSS (Dual Sim, 2.4 Inch, 3000 mAh Battery, Dark Blue)",MTR,0,0,0,1169,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Nokia 105 (Blue),NOKIA,9,2 Reviews,3.6,1299,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"MTR M300 (Dual Sim, 1.8 Inch, 3000 mAh Battery, Black)",MTR,0,0,0,1029,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR S800 (Dual Sim, 2.4 Inch, 3000 mAh Battery, Blue)",MTR,0,0,0,1199,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
Nokia 150 (2020) (Black),NOKIA,13,2 Reviews,3.6,2699,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"MTR MT 350 (Dual SIm, 1.8 Inch Display, 800 Mah Battery)",MTR,0,0,0,889,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR M100 (Dual Sim, 1.77 Inch, 3000 mAh Battery, Black)",MTR,0,0,0,1029,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR S800 (Dual Sim, 2.4 Inch, 3000 mAh Battery, Maroon)",MTR,0,0,0,1199,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
